,Layer,accuracy,precision,recall,F1,Sensitivity,Specificity
0,0,0.6306539227255938,0.43011046974522293,0.4885817647391329,0.4574853785693493,0.4885817647391329,0.6971239669421487
1,1,0.7351428288306143,0.6638001862299392,0.34251879486744674,0.4518727045619792,0.34251879486744674,0.9188363636363637
2,2,0.7358995378669814,0.6169539897412164,0.45212254818834435,0.5218313190129014,0.45212254818834435,0.8686677685950414
3,3,0.730683650580594,0.60302734375,0.45376179978520154,0.5178531109892591,0.45376179978520154,0.8602446280991736
4,4,0.7245128685578387,0.6013681854651408,0.40249279294556556,0.4822308382574539,0.40249279294556556,0.8751735537190083
5,5,0.7335483347896979,0.6265259853505406,0.4061387146006444,0.49281525429541473,0.4061387146006444,0.8867305785123967
6,6,0.7173421495941698,0.5711190822885961,0.4544966367079306,0.506177308424747,0.4544966367079306,0.8403173553719008
7,7,0.714765735494158,0.564851951313082,0.4577468769430784,0.5056904222933417,0.4577468769430784,0.8350148760330579
8,8,0.7116848487032349,0.5540164432643399,0.4894579164546945,0.5197400999384764,0.4894579164546945,0.8156561983471075
9,9,0.687028745934941,0.5097787556533431,0.4714826748063987,0.4898834170264,0.4714826748063987,0.7878743801652892
10,10,0.6224562414982839,0.42306241749952855,0.5072635803515912,0.46135259491555924,0.5072635803515912,0.6763504132231405
11,11,0.5654688443071157,0.372591388470383,0.531202306257419,0.437979167152145,0.531202306257419,0.581500826446281
